Lorem    ,    2    ,         ,    
Ipsum    ,    2    ,         ,    
is    ,    1    ,         ,    
simply    ,    1    ,         ,    
dummy    ,    1    ,         ,    
text    ,    1    ,         ,    
of    ,    1    ,         ,    
the    ,    1    ,         ,    
printing    ,    2    ,         ,    
and    ,    1    ,         ,    
typesetting    ,    3    ,         ,    
industry.    ,    2    ,         ,    
Lorem    ,    2    ,         ,    
Ipsum    ,    2    ,         ,    
has    ,    1    ,         ,    
been    ,    2    ,         ,    
the    ,    1    ,         ,    
industry's    ,    2    ,         ,    
standard    ,    2    ,         ,    
dummy    ,    1    ,         ,    
text    ,    1    ,         ,    
ever    ,    2    ,         ,    
since    ,    2    ,         ,    
the    ,    1    ,         ,    
1500s,    ,    0    ,         ,    
when    ,    1    ,         ,    
an    ,    1    ,         ,    
unknown    ,    2    ,         ,    
printer    ,    2    ,         ,    
took    ,    2    ,         ,    
a    ,    1    ,         ,    
galley    ,    2    ,         ,    
of    ,    1    ,         ,    
type    ,    1    ,         ,    
and    ,    1    ,         ,    
scrambled    ,    2    ,         ,    
it    ,    1    ,         ,    
to    ,    1    ,         ,    
make    ,    2    ,         ,    
a    ,    1    ,         ,    
type    ,    1    ,         ,    
specimen    ,    3    ,         ,    
book.    ,    2    ,         ,    
It    ,    1    ,         ,    
has    ,    1    ,         ,    
survived    ,    3    ,         ,    
not    ,    1    ,         ,    
only    ,    1    ,         ,    
five    ,    2    ,         ,    
centuries,    ,    4    ,    ,seirutnec    ,    
but    ,    1    ,         ,    
also    ,    2    ,         ,    
the    ,    1    ,         ,    
leap    ,    2    ,         ,    
into    ,    2    ,         ,    
electronic    ,    4    ,    cinortcele    ,    
typesetting,    ,    3    ,         ,    
remaining    ,    4    ,    gniniamer    ,    
essentially    ,    4    ,    yllaitnesse    ,    
unchanged.    ,    3    ,         ,    
It    ,    1    ,         ,    
was    ,    1    ,         ,    
popularised    ,    5    ,    desiralupop    ,    
in    ,    1    ,         ,    
the    ,    1    ,         ,    
1960s    ,    0    ,         ,    
with    ,    1    ,         ,    
the    ,    1    ,         ,    
release    ,    4    ,    esaeler    ,    
of    ,    1    ,         ,    
Letraset    ,    3    ,         ,    
sheets    ,    2    ,         ,    
containing    ,    4    ,    gniniatnoc    ,    
Lorem    ,    2    ,         ,    
Ipsum    ,    2    ,         ,    
passages,    ,    3    ,         ,    
and    ,    1    ,         ,    
more    ,    2    ,         ,    
recently    ,    2    ,         ,    
with    ,    1    ,         ,    
desktop    ,    2    ,         ,    
publishing    ,    3    ,         ,    
software    ,    3    ,         ,    
like    ,    2    ,         ,    
Aldus    ,    2    ,         ,    
PageMaker    ,    4    ,    rekaMegaP    ,    
including    ,    3    ,         ,    
versions    ,    3    ,         ,    
of    ,    1    ,         ,    
Lorem    ,    2    ,         ,    
Ipsum.    ,    2    ,         ,    
